id;name;description;status;opencall_objective;created_at
450;Cantantes de Reguetonland que buscan patrocinios;Buscamos jóvenes comprometidos con la justicia social, el cambio climático y los derechos humanos, listos para desafiar el sistema. Ofrecemos oportunidades de conexión con entidades políticas progresistas, ONGs y celebridades comprometidas con el cambio social.;published;Artistas;5/07/24
460;Conviértete en el próximo líder del cambio social.;¿Te gustaría convertirte en un compositor de canciones y aprender de expertos en la industria?;published;Artistas;6/07/24
470;Te gustaría convertirte en un compositor;Formación personalizada y la oportunidad de aprender de los mejores en la industria de la televisión. ¡Es tu chance para mejorar tus habilidades y destacar como presentador de TV!;published;Artistas;7/07/24
480;Sé el mejor presentador de televisión;¡Domina el arte del casting con una mentoría exclusiva! ;open;Artistas;8/07/24
490;Domina el arte del casting con una mentoría;¿Sueñas con convertirte en empresario con el respaldo de marcas reconocidas?;open;Innovador;9/07/24
500;Sueñas con convertirte en empresario;La oportunidad de competir en el Campeonato Mundial de Tango, uno de los eventos más importantes del mundo del tango, que se celebrará en Buenos Aires, Argentina. ¡Demuestra tu talento y asegura tu lugar en este evento internacional de prestigio!;published;Artistas;10/07/24
510;Eres un apasionado del tango con sueños de brillar;"Buscamos Jugadores y jugadoras apasionados por el fútbol con habilidades destacadas y deseo de avanzar en su carrera deportiva.""";closed;Deportistas;11/07/24
520;Demuestra tu talento y únete al desafío de fútbol;Buscamos Emprendedores, startups y desarrolladores de cualquier parte del mundo con proyectos en fases de desarrollo o implementados que muestren un impacto significativo y potencial de crecimiento.;published;Innovador;10/02/24
530;La oportunidad de presentar tu proyecto;Buscamos Emprendedores, startups y desarrolladores de cualquier parte del mundo con proyectos en fases de desarrollo o implementados que muestren un impacto significativo y potencial de crecimiento.;published;Innovador;11/02/24
540;¡Desafío de Diseño para una Marca de Moda de Lujo!;Buscamos diseñadores talentosos y creativos que puedan reinterpretar la elegancia y sofisticación de una marca de moda de lujo en una nueva colección.;published;Artistas;12/02/24
550;¡Desafío de Optimización para Tiendas en Línea!;Estamos buscando soluciones innovadoras para mejorar la experiencia de compra en tiendas en línea. Queremos propuestas que puedan optimizar la gestión de productos, mejorar la experiencia del usuario y aumentar las conversiones en tiendas digitales.;published;Innovador;20/09/24
560;Buscamos talento musical para viralizar su talento en el mundo;Esta es tu oportunidad. Buscamos a músicos que deseen hacer match con las estrellas más grandes de la música y ser el primero en lograr colaboraciones inolvidables.;published;Artistas;21/09/24